"","year","gas","mean","med","min","max","q01","q05","q95","q99","labels","group","version","scenario"
"1",2020,"co2",0,0,0,0,0,0,0,0,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"2",2021,"co2",0,0,0,0,0,0,0,0,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"3",2022,"co2",0,0,0,0,0,0,0,0,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"4",2023,"co2",0,0,0,0,0,0,0,0,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"5",2024,"co2",0,0,0,0,0,0,0,0,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"6",2025,"co2",0,0,0,0,0,0,0,0,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"7",2026,"co2",0,0,0,0,0,0,0,0,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"8",2027,"co2",0,0,0,0,0,0,0,0,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"9",2028,"co2",0,0,0,0,0,0,0,0,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"10",2029,"co2",0,0,0,0,0,0,0,0,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"11",2030,"co2",0,0,0,0,0,0,0,0,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"12",2031,"co2",0.000166391603512199,0.000162574235584412,9.99256551668104e-05,0.000303458185151317,0.000119443866533064,0.000130990008605503,0.000213621884913806,0.000242777329575894,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"13",2032,"co2",0.000591419284008052,0.000581838081641139,0.000369806539484818,0.000963343166815456,0.000434764258398834,0.000474508252965578,0.000737930165626066,0.000826487980988055,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"14",2033,"co2",0.00101914865704178,0.00100934095788829,0.000668618509943153,0.00158301948776218,0.000771293929477279,0.000829161906044984,0.00123569816539204,0.00136792701532155,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"15",2034,"co2",0.00129821592374044,0.00128590238478998,0.000865916345632156,0.00201140813757639,0.000987747982481135,0.00106628152487293,0.00156124619874154,0.00169766206596345,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"16",2035,"co2",0.00147938445187908,0.00147169944121495,0.000984180693752279,0.00228088205951438,0.00110749890263406,0.00120964105810284,0.00177767628244174,0.0019152019192672,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"17",2036,"co2",0.00159582604022721,0.00158742434454973,0.000976909182033303,0.002444532309958,0.00117528483080553,0.00128686333247252,0.00194825399825496,0.00209545340353712,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"18",2037,"co2",0.00166915873209808,0.00165546780220605,0.00095441396537721,0.00253835223722287,0.00118564288001699,0.0013195073786938,0.00206369721145339,0.00220866888391528,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"19",2038,"co2",0.00171360898683946,0.00170164419622587,0.000927092352220438,0.00258664929277197,0.00117761299356551,0.00132814817012883,0.00213845779885924,0.00229793649325227,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"20",2039,"co2",0.00173862591575506,0.00172710330435333,0.000903470725822419,0.00266702715023692,0.00116537077410639,0.00132663041980763,0.00220166454438786,0.00237717609742916,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"21",2040,"co2",0.00175054016570115,0.00173726661100415,0.000883359530667871,0.00275101233828279,0.00115459666248663,0.00131241496045199,0.00224630715380147,0.0024378677905964,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"22",2041,"co2",0.00175362716980008,0.00173947865130053,0.00086612242041717,0.00282730179342883,0.00113464677672304,0.00129618465320958,0.00227673337131176,0.00249729848059,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"23",2042,"co2",0.00175079870010135,0.00173598362929672,0.000851130437137915,0.00288640582789279,0.00111605490312838,0.00127916407848772,0.00229466985954696,0.00254138779970559,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"24",2043,"co2",0.00174405408640584,0.00172614062812948,0.000837883829134078,0.00293165216710856,0.00110339625242517,0.00126189732181109,0.0023083099396799,0.00255758252372473,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"25",2044,"co2",0.00173477115506999,0.00171505828840535,0.000826011665397086,0.00296570013460196,0.0010908246081256,0.00124990553509835,0.00230707454104584,0.00256800451271877,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"26",2045,"co2",0.00172390090904497,0.00170046236629195,0.000815245207077542,0.00299068529482716,0.00107451829532623,0.00123684703533078,0.00230343797997223,0.00257395062999732,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"27",2046,"co2",0.00171210164032893,0.00168681327546127,0.000805392111002501,0.00300833215752316,0.00106388888588792,0.00122445691382262,0.00230318666767904,0.00258438869139832,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"28",2047,"co2",0.00169982945440149,0.00167253671088585,0.000796313722616127,0.00302003985260946,0.00104980647156226,0.00121137969228879,0.00229298255628945,0.00258891119626004,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"29",2048,"co2",0.00168739975728772,0.00165825962030297,0.000787907807987764,0.00304260140683299,0.0010366029173248,0.0011990378552551,0.00228390406193313,0.00258789337995324,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"30",2049,"co2",0.00167502931593233,0.0016442513824364,0.000780096436915123,0.00306094501483933,0.00102470892662199,0.00118741644533199,0.00227124034804405,0.00258356003386773,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"31",2050,"co2",0.00166286529081538,0.0016326288030466,0.00077281790897521,0.00307495316520123,0.00101564332799753,0.00117638484898792,0.00226073336812638,0.00257674906904537,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"32",2051,"co2",0.00165100546419944,0.00162014507466202,0.000766021604308165,0.00308529220277221,0.00100720133109089,0.00116624939274002,0.00225267051325151,0.00256721866688192,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"33",2052,"co2",0.00163951707900885,0.00160805156690458,0.000759670143533953,0.00309253684325217,0.00099932401281988,0.00115661132902156,0.00224300443653913,0.00255999437276966,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
"34",2053,"co2",0.00162844880720452,0.00159389711943803,0.000753737340491334,0.00309718681892379,0.000990618656526943,0.00114755771558417,0.00223501212455934,0.00255005176962664,"","FaIR 1.6.2","FaIR 1.6.2","ssp245"
